,loss
439,1.6825752027216367e-05
440,1.4439693586609792e-05
441,1.1658653420454357e-05
442,1.1273256859567482e-05
443,1.2384251022012904e-05
444,1.4936937077436596e-05
445,2.2862755940877832e-05
446,3.44701147696469e-05
447,2.7727151973522268e-05
448,1.3865026630810462e-05
449,9.170558769255877e-06
450,9.393650543643162e-06
451,9.520104867988266e-06
452,9.807688002183568e-06
453,1.0027679309132509e-05
454,1.0386895155534148e-05
455,1.0676179044821765e-05
456,1.0929004929494113e-05
457,1.1000614904332906e-05
458,1.1059512871725019e-05
459,1.18479692901019e-05
460,1.54074532474624e-05
461,2.3137263269745745e-05
462,2.4653574655530974e-05
463,1.925325886986684e-05
464,1.8023916709353216e-05
465,1.4024128176970407e-05
466,1.0788509825943038e-05
467,1.0382046639278997e-05
468,1.1359872587490827e-05
469,1.2266682460904121e-05
470,1.234758019563742e-05
471,1.1549688679224346e-05
472,1.0580294656392653e-05
473,9.90896387520479e-06
474,9.72707766777603e-06
475,1.0867571290873457e-05
476,1.842870369728189e-05
477,3.607948019634932e-05
478,2.549114105931949e-05
479,1.0716421456891112e-05
480,9.159452929452527e-06
481,9.481639608566184e-06
482,1.0312718586646952e-05
483,1.175635952677112e-05
484,1.3494261111191008e-05
485,1.3716748981096316e-05
486,1.2144409993197769e-05
487,1.0467882930242922e-05
488,9.630271051719319e-06
489,9.803640750760678e-06
490,1.1865382475662045e-05
491,1.8764263586490415e-05
492,2.6941293981508352e-05
493,1.7325419321423396e-05
494,9.757823136169463e-06
495,8.973004696599673e-06
496,8.750000233703759e-06
497,9.179387234325986e-06
498,1.069854806701187e-05
499,1.4216408999345731e-05
500,1.640554728510324e-05
501,1.289321699005086e-05
502,1.1327584616083186e-05
503,1.0540392395341769e-05
504,1.0361229215050116e-05
505,1.4821004697296303e-05
506,2.233447230537422e-05
507,1.8303080651094206e-05
508,9.621697245165706e-06
509,8.249739039456472e-06
510,8.79547769727651e-06
511,9.598717042536009e-06
512,1.0478102922206745e-05
513,1.0772583664220292e-05
514,1.0713117262639571e-05
515,1.3036911695962772e-05
516,1.5816092854947783e-05
517,1.3644449609273579e-05
518,1.1888473636645358e-05
519,1.1355899914633483e-05
520,1.4113413271843456e-05
521,1.5387213352369145e-05
522,1.5208656805043574e-05
523,1.7022821339196526e-05
524,1.4059699424251448e-05
525,9.88568444881821e-06
526,8.19457090983633e-06
527,7.845636901038233e-06
528,7.930251740617678e-06
529,8.461203833576292e-06
530,9.790795957087539e-06
531,1.2934722690260969e-05
532,1.79734815901611e-05
533,1.8746502973954193e-05
534,1.6570716979913414e-05
535,1.4521307093673386e-05
536,9.376591151522007e-06
537,8.270485523098614e-06
538,1.0123256288352422e-05
539,1.1819148312497418e-05
540,1.1807607734226622e-05
541,1.1547976100700907e-05
542,1.2895927284262143e-05
543,1.3189276614866685e-05
544,1.1041411198675632e-05
545,8.994268682727125e-06
546,7.765279406157788e-06
547,7.415363597829128e-06
548,8.48061972646974e-06
549,1.241399695572909e-05
550,2.070722621283494e-05
551,2.8292584829614498e-05
552,1.922533738252241e-05
553,9.734120794746559e-06
554,7.239734259201214e-06
555,7.37931713956641e-06
556,7.714103958278429e-06
